_id,AÑO,CVE_ENT,ENTIDAD,HOMBRES,MUJERES,DESCONOCIDO,TOTAL,POBLACION_HOMBRES,POBLACION_MUJERES,POBLACION_TOTAL,TASA_HOMBRES,TASA_MUJERES,TASA_TOTAL
49,1991,14,Jalisco,157,26,0,183,2782357,2909423,5691780,5.64269789965846,0.89364798449727,3.2151629191571
50,1991,15,Estado de México,75,21,0,96,5243427,5318299,10561726,1.43036224209854,0.394863094384125,0.908942345218954
51,1991,16,Michoacán,60,16,0,76,1850070,1932480,3782550,3.24312053057452,0.827951647623779,2.00922657995268
52,1991,17,Morelos,21,8,1,30,630610,650393,1281003,3.33010894213539,1.23002553840524,2.34191489012906
53,1991,18,Nayarit,16,2,0,18,435129,430867,865996,3.67707047795022,0.464180361921428,2.07853154056139
54,1991,19,Nuevo León,67,7,1,75,1647026,1635274,3282300,4.06793821105435,0.428062820053398,2.28498309112513
55,1991,20,Oaxaca,46,1,0,47,1573467,1615203,3188670,2.92348044159808,0.061911722551283,1.47396877067868
56,1991,21,Puebla,41,6,0,47,2166163,2244912,4411075,1.89274768334608,0.267271055613761,1.06549990648538
57,1991,22,Querétaro,14,5,0,19,561647,572722,1134369,2.492668882768,0.873023910378858,1.6749399886633
58,1991,23,Quintana Roo,13,2,0,15,286506,265089,551595,4.5374267903639,0.75446359524537,2.71938650640416
59,1991,24,San Luis Potosí,48,5,0,53,1050786,1064212,2114998,4.56800909033809,0.469831199046807,2.50591253514188
60,1991,25,Sinaloa,52,10,0,62,1162804,1145721,2308525,4.47194884090526,0.872812840124254,2.68569757745747
61,1991,26,Sonora,83,9,0,92,975144,953667,1928811,8.51156342037689,0.943725640081915,4.76977785796535
62,1991,27,Tabasco,153,21,1,175,803007,793226,1596233,19.0533830962868,2.64741700347694,10.9633117470946
63,1991,28,Tamaulipas,86,13,1,100,1183239,1191509,2374748,7.26818504123005,1.09105344567267,4.21097312220076
64,1991,29,Tlaxcala,6,4,0,10,404890,410864,815754,1.48188396848527,0.9735581603645,1.22585975674039
65,1991,30,Veracruz,131,23,0,154,3243438,3274366,6517804,4.0389241292727,0.702426057441349,2.36275899060481
66,1991,31,Yucatán,51,3,0,54,725477,728635,1454112,7.02985759713954,0.411728780527974,3.71360665478313
67,1991,32,Zacatecas,26,7,0,33,660110,679405,1339515,3.93873748314675,1.03031328883361,2.4635782354061
68,1991,33,Extranjero,10,2,0,12,,,,,,
69,1992,0,Nacional,1911,346,1,2258,43439574,44313557,87753131,4.39921441218553,0.780799428942253,2.5731275616821
70,1992,1,Aguascalientes,9,5,0,14,392478,406505,798983,2.29312216226132,1.22999717100651,1.75222751923383
71,1992,2,Baja California,48,6,0,54,952068,931201,1883269,5.0416566883878,0.644329204972933,2.86735458397075
72,1992,3,Baja California Sur,15,1,0,16,178530,170084,348614,8.40194925222652,0.587944780226241,4.58960340089612
73,1992,4,Campeche,41,4,0,45,299680,292905,592585,13.6812600106781,1.36563049452894,7.59384729616848
74,1992,5,Coahuila,43,6,1,50,1054463,1054326,2108789,4.07790505688678,0.569083945572811,2.37102905980636
75,1992,6,Colima,23,1,0,24,231954,231890,463844,9.91575915914362,0.431238949501919,5.17415337915334
76,1992,7,Chiapas,42,7,0,49,1736557,1715406,3451963,2.41857883156153,0.408066661769867,1.4194821902784
77,1992,8,Chihuahua,89,11,0,100,1328595,1325129,2653724,6.69880588140103,0.83010786119691,3.76828939256682
78,1992,9,Ciudad de México,245,56,0,301,4118915,4418139,8537054,5.94816838900536,1.26750199574979,3.5258064433
79,1992,10,Durango,22,3,0,25,711773,719825,1431598,3.09087307329725,0.4167679644358,1.7463002882094
80,1992,11,Guanajuato,57,15,0,72,2088749,2191640,4280389,2.72890615387488,0.684418973919074,1.6820901090999
81,1992,12,Guerrero,41,7,0,48,1397539,1433638,2831177,2.9337285041777,0.488268307620194,1.69540795224036
82,1992,13,Hidalgo,23,6,0,29,1006332,1022489,2028821,2.28552803647305,0.586803378813855,1.4294016081261
83,1992,14,Jalisco,156,23,0,179,2838243,2964295,5802538,5.49635813424009,0.775901183924002,3.08485700567579
84,1992,15,Estado de México,76,26,0,102,5397338,5480026,10877364,1.40810154931931,0.474450303702939,0.937727191992472
85,1992,16,Michoacán,102,16,0,118,1875023,1958612,3833635,5.43993327015189,0.81690503274768,3.07801864288071
86,1992,17,Morelos,30,7,0,37,651287,672223,1323510,4.60626421224437,1.04132110921525,2.7955965576384
87,1992,18,Nayarit,21,1,0,22,441037,436850,877887,4.76150527053286,0.228911525695319,2.5060172892411
88,1992,19,Nuevo León,78,12,0,90,1684618,1673380,3357998,4.630129797972,0.717111474978786,2.68016836222059
89,1992,20,Oaxaca,58,14,0,72,1587199,1630952,3218151,3.65423617328388,0.858394361084814,2.2373095606763
90,1992,21,Puebla,41,15,0,56,2205721,2288615,4494336,1.85880263188318,0.655418233298305,1.24601275917065
91,1992,22,Querétaro,14,4,0,18,577573,589389,1166962,2.42393602194008,0.678668926634192,1.54246667843512
92,1992,23,Quintana Roo,12,3,0,15,304862,283211,588073,3.93620720194711,1.05928088951347,2.55070373916164
93,1992,24,San Luis Potosí,68,9,0,77,1066781,1080841,2147622,6.37431675292305,0.832684918503277,3.58536092478099
94,1992,25,Sinaloa,47,8,0,55,1181371,1164688,2346059,3.97842845304312,0.686879232893273,2.34435706859887
95,1992,26,Sonora,71,15,0,86,997315,976119,1973434,7.11911482330056,1.53669788212298,4.35788579704211
96,1992,27,Tabasco,108,17,0,125,823802,815405,1639207,13.1099463220531,2.08485353903888,7.62563849471116
